question_number,original_pattern_sc_id,dualizations_playlist_sc_id
1,877854508,1112897323
2,877855105,1112898085
3,877855996,1112898910
4,877857532,1112900773
5,877858285,1112901385
6,877858966,1112902051
7,877859617,1112902813
8,877860205,1112903380
9,877860808,1112903989
10,877861549,1112904625
11,877862104,1112905288
12,877862863,1112906182
13,877863505,1112907025
14,877864027,1112907709
15,877864930,1112908396
16,877865395,1112909230
17,877866184,1112909950
18,877867393,1112911195
19,877868413,1112912074
20,877869082,1112912704
