question_number,original_pattern_sc_id,dualizations_playlist_sc_id
1,877446376,1112507329
2,877450831,1112511610
3,877452508,1112513206
4,877453819,1112514400
5,877456030,1112516107
6,877456609,1112517778
7,877458115,1112519008
8,877459513,1112520496
9,877460542,1112521429
10,877461652,1112522410
11,877462792,1112523742
12,877464064,1112524774
13,877465180,1112525698
14,877466155,1112526832
15,877467307,1112527750
16,877468342,1112528635
17,877469509,1112530159
18,877471345,1112531380
19,877472698,1112532526
20,877474018,1112533468

